step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.38566870393620295,2060,2000,1.929133631358822,18.61544291039479,8,nan,X1
1,0.2,0.3850469757399675,4120,4000,1.927873084714689,18.58733046379021,8,nan,X1
2,0.3,0.3844544845198267,6180,6000,1.9272227046561192,18.577010159565926,8,nan,X1
3,0.4,0.3841694999482096,8240,8000,1.9268151492810577,18.57209828685048,8,nan,X1
4,0.5,0.38352592990135587,10300,10000,1.925037531450886,18.518104416130996,8,nan,X1
5,0.6,0.3827523522044048,12360,12000,1.92401155814182,18.524888113383884,8,nan,X1
6,0.7,0.3822524802606636,14420,14000,1.9230537734634787,18.50263825484355,8,nan,X1
7,0.8,0.3820165483710789,16480,16000,1.9218280339158929,18.48622462278084,8,nan,X1
8,0.9,0.3815969670810802,18540,18000,1.922192728828247,18.480510165383084,8,nan,X1
9,1.0,0.38122355998064134,20600,20000,1.9210700315466016,18.458771818913487,8,nan,X1
10,1.1,0.3808410815949858,22660,22000,1.9198735910230884,18.42708804480605,8,nan,X1
11,1.2,0.3803518412818693,24720,24000,1.9195933780873589,18.43830285733376,8,nan,X1
12,1.3,0.38005914631136767,26780,26000,1.9189026070473196,18.436309443088103,8,nan,X1
13,1.4,0.37966203261283327,28840,28000,1.9181393877060509,18.40158988564461,8,nan,X1
14,1.5,0.37935658493322966,30900,30000,1.9174493737320943,18.403795786093045,8,nan,X1
15,1.6,0.3791355225793761,32960,32000,1.9171235120656345,18.40109062410876,8,nan,X1
16,1.7,0.3788415599123719,35020,34000,1.9162386126228868,18.380473096905078,8,nan,X1
17,1.8,0.3785706399539581,37080,36000,1.9154008469462607,18.39549040952791,8,nan,X1
18,1.9,0.3783017916073405,39140,38000,1.9151128682274479,18.370606849984203,8,nan,X1
19,2.0,0.37811763975976376,41200,40000,1.9155899642911156,18.37210363638451,8,nan,X1
20,2.1,0.2637734634097848,43550,42290,1.5252852821840959,11.383021554073869,16,nan,X1;X0
21,2.2,0.17980307342351692,45610,44290,1.295383635570292,10.898470968409736,16,nan,X1;X0
